state,product_description,address_1,city,status,lat,lon
AL,Irvington Seafood Crabmeat,11125 Beverly Rd,Irvington,Completed,30.459296,-88.250508
AL,Port City Soups  Tex-Mex Chili,10 Springdale Blvd,Mobile,Terminated,30.687526,-88.123909
AL,Port City Soups  Alkaline Vegetable Soup,10 Springdale Blvd,Mobile,Terminated,30.687526,-88.123909
AL,Port City Soups  Creole Gumbo,10 Springdale Blvd,Mobile,Terminated,30.687526,-88.123909
AL,Port City Soups  Baton Rouge Beans,10 Springdale Blvd,Mobile,Terminated,30.687526,-88.123909
AK,Charlies Produce peeled onions,9401 King St,Anchorage,Terminated,61.135165,-149.878668
AK,Charlies Produce peeled onions,9401 King St,Anchorage,Terminated,61.135165,-149.878668
AK,Charlies Produce peeled onions,9401 King St,Anchorage,Terminated,61.135165,-149.878668
AK,Smoked Silver Salmon,3915 Machen Rd.,Wasilla,Terminated,61.585074,-149.54898
AK,Canoodles shelf stable sockeye salmon pieces,17515 Sterling Hwy,Ninilchik,Terminated,60.017345,-151.709602
AZ,Thai Noodle Salad Kit,859 S 86th Ave,Tolleson,Terminated,33.43994,-112.243777
AZ,Woody's Smokehouse brand Yogurt Raisins,4955 E McKellips Rd,Mesa,Terminated,33.451584,-111.723081
AZ,Good & Gather Dried Sweetened Strawberries,4502 W Monterosa St,Phoenix,Completed,33.496999,-112.157624
AZ,"""Mountain Trail Mix, 44 oz. ",4502 W Monterosa St,Phoenix,Ongoing,33.496999,-112.157624
AZ,Salted Cashews Halves & Pieces,4502 W Monterosa St,Phoenix,Ongoing,33.496999,-112.157624
AR,Favorite Day Lavender Shortbread Cookie Bites,9100 Frazier Pike,Little Rock,Ongoing,34.704204,-92.175858
AR,SKIPPY Creamy Peanut Butter Blended with Plant Protein,8201 Frazier Pike,Little Rock,Terminated,34.708248,-92.184569
AR,SKIPPY Reduced Fat Chunky Peanut Butter,8201 Frazier Pike,Little Rock,Terminated,34.708248,-92.184569
AR,SKIPPY Reduced Fat Creamy Peanut Butter,8201 Frazier Pike,Little Rock,Terminated,34.708248,-92.184569
AR,Favorite Day Carrot cake soft bake cookies,9100 Frazier Pike,Little Rock,Ongoing,34.704204,-92.175858
CA,KANRO Pure gummy,16400 Trojan Way,La Mirada,Ongoing,33.882859,-118.014869
CA,TOHATO Nagewa Snack Seaweed Flavor,16400 Trojan Way,La Mirada,Ongoing,33.882859,-118.014869
CA,ITOSEIKA Chocolate chip cookies,16400 Trojan Way,La Mirada,Ongoing,33.882859,-118.014869
CA,Caramel Corn,16400 Trojan Way,La Mirada,Ongoing,33.882859,-118.014869
CA,Katoseika Chocolat Orange Candy,16400 Trojan Way,La Mirada,Ongoing,33.882859,-118.014869
CO,Rao's Chicken & Gnocchi Soup,168 Centennial Pkwy Ste 200,Louisville,Ongoing,39.970317,-105.166953
CO,Umami Everyday Savory Spice,2525 Arapahoe Ave,Boulder,Ongoing,40.016503,-105.262192
CO,Everything But The Sushi & Dumplings,2525 Arapahoe Ave,Boulder,Ongoing,40.016503,-105.262192
CO,Umami Everyday Sauce,2525 Arapahoe Ave,Boulder,Ongoing,40.016503,-105.262192
CO,Hammond's Salted Caramel Cookies,5735 Washington St,Denver,Ongoing,39.799652,-104.98016
CT,Full Circle Market Organic Oat & Honey Granola,13 South Floral Siding,East Hartford,Ongoing,41.80039,-72.58846
CT,Aurora Natural brand; Organic Cranberry Frontier Mix,205 Edison Rd,Orange,Completed,41.261368,-72.995498
CT,Spicy tuna roll,100 Bridge St,East Windsor,Terminated,41.929654,-72.616674
CT,Pink lady and salmon avocado roll,100 Bridge St,East Windsor,Terminated,41.929654,-72.616674
CT,Spicy salmon roll,100 Bridge St,East Windsor,Terminated,41.929654,-72.616674
DE,Kingdom Honey Royal Honey,2 Burleigh Ct,Newark,Ongoing,39.64503,-75.716997
DE,Natural by Nature 1 % Milk,316 Markus Ct,Newark,Terminated,39.659266,-75.775991
DE,Fairway Market 1 % Milk,316 Markus Ct,Newark,Terminated,39.659266,-75.775991
DE,Common Market 1 % Milk,316 Markus Ct,Newark,Terminated,39.659266,-75.775991
DE,Ross Chocolates,9 Whistler Ct,Wilmington,Terminated,39.744968,-75.700391
DC,Everything Swapples,1369 New York Ave Ne,Washington,Terminated,38.915299,-76.985285
DC,Nutrin/Amendobras brand Roasted Peanut Splits,1627 Connecticut Ave NW Suite 3 Rm 2,Washington,Terminated,38.912033,-77.044432
DC,YES Mocha Gelato,5766 2nd St NE,Washington,Terminated,38.958697,-77.004563
DC,YES Green Tea Gelato,5766 2nd St NE,Washington,Terminated,38.958697,-77.004563
DC,YES Raspberry Lemonade Sorbetto,5766 2nd St NE,Washington,Terminated,38.958697,-77.004563
FL,Fullei Fresh brand Alfalfa Sprouts,400 Ne 67th St,Miami,Terminated,25.835416,-80.188512
FL,FC Parsley Curly Chopped Fine,2300 Nw 19th St,Pompano Beach,Terminated,26.254105,-80.157889
FL,Kalera and Butter lettuce,7455 Emerald Dunes Dr,Orlando,Terminated,28.45999,-81.280853
FL,Kalera and Butter lettuce,7455 Emerald Dunes Dr,Orlando,Terminated,28.45999,-81.280853
FL,Living Hydroponic Baby Romaine Lettuce,7455 Emerald Dunes Dr,Orlando,Terminated,28.45999,-81.280853
GA,Pepper Collection 8 Tube Gift Set,825 Franklin Ct Se Ste B,Marietta,Ongoing,33.928267,-84.496826
GA,Kerry,5 Douglas St Se,Rome,Ongoing,34.204506,-85.17683
GA,Bella Cucina Artful Food Porcini & Parmesan Pesto,1870 Murphy Ave Sw,Atlanta,Ongoing,33.703582,-84.426903
GA,Bella Cucina Artful Food Sun-Dried Tomato Pesto,1870 Murphy Ave Sw,Atlanta,Ongoing,33.703582,-84.426903
GA,BRIE EN CROUTE WITH RASPBERRY,5423 N Lake Dr,Lake City,Ongoing,33.541779,-84.349924
HI,Garlic Shrimp Poke and Cooked Shrimp,1535 Colburn St,Honolulu,Terminated,21.325056,-157.878966
HI,Lalamilo Farms Tropical Dreams Hawaiian Ice Cream - Strawberry Cheesecake,66-1250 Lalamilo Farm Rd,Kamuela,Terminated,20.011798,-155.683036
HI,Samurai Brand Furikake Popcorn,738 Umi St,Honolulu,Terminated,21.334046,-157.882561
HI,Sweet Basil Farm Hawaii,86-430 Puhawai Rd,Waianae,Terminated,21.441866,-158.155523
HI,Regal's Fundraising Cookies,3040 Ualena St,Honolulu,Terminated,21.334117,-157.909044
ID,Chicken Salad Sandwich,250 E Park Center Blvd,Boise,Completed,43.698248,-116.403129
ID,Ready Meals Chicken Salad Quad,250 E Park Center Blvd,Boise,Completed,43.698248,-116.403129
ID,Ready Meals Snow Crab Legs Imitation Surimi SCE,250 E Park Center Blvd,Boise,Terminated,43.698248,-116.403129
ID,Ready Meals Shrimp Cooked with Cocktail Sauce,250 E Park Center Blvd,Boise,Terminated,43.698248,-116.403129
